,Wall time,Step,Value
0,1716091083.106457,0,0.0
1,1716091263.5329,1000,0.0388885214924812
2,1716091461.445873,3000,0.4726828634738922
3,1716091666.43843,6000,0.5120759606361389
4,1716091865.653111,8000,0.5214094519615173
5,1716092062.108987,10000,0.5737048983573914
6,1716092262.546173,12000,0.5920462012290955
7,1716092465.176971,15000,0.5928139686584473
8,1716092664.860891,17000,0.6102749109268188
9,1716092864.45868,19000,0.6136438846588135
10,1716093060.554827,21000,0.6148048639297485
11,1716093266.923494,23000,0.6464422345161438
12,1716093468.276812,26000,0.6599611639976501
13,1716093670.595406,28000,0.6648206114768982
14,1716093868.4062,30000,0.6682732105255127
15,1716094069.666033,32000,0.6693931221961975
16,1716094268.974188,34000,0.6722086668014526
17,1716094469.901384,37000,0.673515260219574
18,1716094675.079394,39000,0.6977160573005676
19,1716094869.819834,41000,0.6997038722038269
20,1716095070.730303,43000,0.7099699974060059
21,1716095276.022952,45000,0.7132052183151245
22,1716095474.40755,48000,0.7180580496788025
23,1716095673.586975,50000,0.7237710952758789
24,1717073687.727605,53000,0.7268010377883911
25,1717073888.284315,55000,0.7295161485671997
26,1717074085.328839,58000,0.7342228293418884
27,1717074288.243124,60000,0.7478806376457214
28,1717074489.822368,62000,0.756520688533783
29,1717074686.468598,64000,0.7703508734703064
30,1717074890.811358,67000,0.781360924243927
31,1717075092.478964,69000,0.789039134979248
32,1717075287.959784,71000,0.7918322086334229
33,1717075491.094033,73000,0.7940846681594849
34,1717075691.924928,75000,0.7971463203430176
35,1717075894.246561,78000,0.8042765855789185
36,1717076094.61735,80000,0.807390034198761
37,1717076295.655546,82000,0.8102802634239197
38,1717076498.527906,84000,0.8110830783843994
39,1717076702.276906,87000,0.8121042847633362
40,1717076897.180972,89000,0.8153500556945801
41,1717077096.21622,91000,0.8175966739654541
42,1717077296.048834,93000,0.8180626034736633
43,1717077497.111068,95000,0.818099856376648
44,1717077698.076203,97000,0.8181467652320862
45,1717077865.457163,100000,0.8197965025901794
